             hex   1.14  2.11    1097.33     943.94    1891.61    1546.37
            yago   1.25  1.63     571.53     767.57    1393.62    1077.54
           email   1.55  2.12     626.45     943.63    2387.56    1547.06
            wiki   1.31  1.65     555.83     763.24    1493.08    1195.85
            uuid   1.55  2.44     632.38    1113.02    2781.81    2654.33
           urls2   1.75  2.05     601.69     932.63    2169.91    2134.53
            urls   2.77  2.16     711.20     986.26    2263.57    2295.50
       firstname   1.25  2.04     637.33     877.86     895.11     865.86
        lastname   1.28  1.97     616.31     874.15    1006.88    1022.01
            city   1.37  2.14     539.96     878.76    1098.47    1120.88
     credentials   1.48  2.33     439.01     983.73    1055.39    1159.15
          street   1.60  2.38     501.29    1001.26    1275.17    1287.99
          movies   1.23  1.66     541.41     787.07    1443.33    1142.73
           faust   1.48  1.86     421.79     819.03    1380.22    1524.45
          hamlet   2.13  2.42     514.70    1057.51    1772.76    2168.23
         chinese   1.40  1.70     539.53     590.87    2503.28    2163.00
        japanese   1.84  1.99     461.37     899.28    2539.72    2577.22
       wikipedia   1.45  1.82     516.87     852.19    2628.49    2365.69
          genome   1.59  3.32     565.75    1306.69    1126.29    2837.59
        location   1.58  2.52     433.13    1141.27    2270.58    2647.00
          c_name   3.08  3.84    1131.11    1420.78    2959.71    3518.98
       l_comment   2.22  3.01     605.44    1163.93    1663.71    1893.07
      ps_comment   2.79  3.38     741.27    1358.76    2715.48    3919.90
             AVG   1.70  2.28     608.81     976.67    1857.21    1941.95
