file	FSST-cMB/s	FSST-crate	FSST-dMB/s	LZ4-cMB/s	LZ4-crate	LZ4-dMB/s	LZ4dict-cMB/s	LZ4dict-crate	LZ4dict-dMB/s
firstname	185.673	1.82998	243.103	82.4955	0.887044	151.719	5.30322	0.889048	143.469
hex	347.054	1.76722	284.952	98.0093	0.899328	193.993	4.29869	0.898539	181.627
city	206.244	1.94822	345.775	107.378	0.904466	202.875	6.21012	0.925682	217.532
genome	294.795	2.49375	444.193	109.785	0.909091	224.147	6.56137	0.908285	211.878
lastname	216.888	1.79696	332.402	109.336	0.905316	224.592	6.73573	0.984204	211.159
credentials	194.089	2.08434	387.5	118.806	0.905182	255.165	7.59337	0.999921	235.099
street	282.405	2.16297	425.389	131.448	0.908361	309.961	8.76748	1.00478	276.948
c_name	468.656	3.51866	702.96	178.48	0.904762	558.429	12.8042	1.84756	408.911
yago	350.044	1.54291	364.93	183.771	0.921758	349.114	12.7926	1.00551	429.947
movies	374.384	1.57805	430.094	195.988	0.927259	608.849	14	0.987188	487.795
email	431.423	2.07277	530.645	203.519	0.919053	686.511	11.91	1.02012	500.207
wiki	391.153	1.55476	461.524	199.053	0.932519	666.052	14.964	1.06954	503.142
faust	441.341	1.78763	563.468	208.475	0.94334	663.899	15.9657	1.13685	449.442
l_comment	526.456	2.75373	696.796	237.966	0.939364	773.786	18.1151	1.61901	393.014
hamlet	522.284	2.22703	777.123	252.605	0.956666	816.319	19.2219	1.25141	517.938
uuid	621.561	2.31949	823.093	311.861	0.948771	1322.11	23.2726	1.27414	781.882
location	665.783	2.5218	928.089	320.611	0.95287	1422.14	22.3763	1.19902	661.832
urls2	669.94	1.98343	1048.79	353.888	0.974326	1332.66	33.8965	1.45647	815.126
urls	773.933	2.34843	1076.01	393.154	0.973579	1942.41	38.9794	2.1384	904.779
chinese	686.319	1.68487	1263.65	452.498	0.994716	1904.3	45.8949	1.18743	854.566
japanese	779.45	2.01886	1446.05	407.698	1.01704	1342.68	49.3703	1.5537	789.851
ps_comment	1085.51	3.29622	2098.16	349.69	1.08023	1727.09	69.3745	2.35865	834.131
wikipedia	741.34	1.79944	1547.56	487.947	1.02027	1931.58	55.8057	1.28456	957.389
AVG	469.030	2.045	717.594	228.936	0.905	817.099	21.009	1.208	490.319
