file	FSST-brate		FSST-bMB/s		FSST-crate	FSST-cMB/s	FSST-dMB/s	LZ4-brate		LZ4-bMB/s		LZ4-crate	LZ4-cMB/s	LZ4-dMB/s
sao	1.01825	500.718	1.00862	493.459	1353.92	1.14141	668.422	1.0603	595.067	2720.14
x-ray	1.0418	528.822	0.883235	318.893	1309.62	1.10444	1372.63	0.900984	1058.04	2618.94
mozilla	1.0801	540.496	1.06701	536.098	1575.67	1.63751	1250.13	1.49832	972.06	3223.17
osdb	1.15896	572.731	1.14343	562.55	1477.69	1.98497	676.209	1.85277	611.071	2541.89
ooffice	1.18277	574.047	1.17092	578.327	1180.32	1.49502	659.474	1.37695	578.439	2329.05
samba	1.12063	582.168	1.0154	442.33	952.196	2.12512	768.356	1.73017	625.35	2045.47
dickens	1.87658	723.234	1.63507	550.592	1923.36	1.59989	373.72	1.40536	350.605	1833.51
xml-silesia	1.49934	770.986	1.41731	658.77	1702.75	5.04952	1158.4	3.7836	849.946	2325.62
linuxcommits.json	1.77359	821.778	1.76992	851.884	2988.13	7.21355	1887.04	4.10495	997.497	3144.56
mr	1.72537	894.078	1.59338	710.38	1138.96	1.8629	716.743	1.65281	658.973	2089.73
webster	2.01922	912.882	1.70455	615.306	1977.51	2.01173	497.239	1.68212	451.398	1916.02
reymont	2.32506	1013.4	2.26292	992.607	3620.73	2.18255	469.915	2.02059	429.099	2401.34
nci	3.54527	1470.85	2.61516	775.588	3086.76	5.05303	1287.28	3.34486	1012.89	2767.4
AVG	1.526	707.585	1.378	577.627	1734.830	2.462	841.826	1.887	656.460	2282.631
