             hex 2.11 1.14 2.12 1.28
            yago 1.63 1.25 1.62 1.49
           email 2.12 1.55 2.13 1.80
            wiki 1.65 1.31 1.63 1.58
            uuid 2.44 1.55 2.44 1.79
           urls2 2.05 1.75 2.03 2.14
            urls 2.16 2.77 2.37 5.04
       firstname 2.04 1.25 2.04 1.56
        lastname 1.97 1.28 1.98 1.67
            city 2.14 1.37 2.17 1.65
     credentials 2.33 1.48 2.34 1.85
          street 2.38 1.60 2.36 2.11
          movies 1.66 1.23 1.67 1.43
           faust 1.86 1.48 1.86 1.48
          hamlet 2.42 2.13 2.42 2.13
         chinese 1.70 1.40 1.70 1.40
        japanese 1.99 1.84 1.99 1.84
       wikipedia 1.82 1.45 1.80 1.52
          genome 3.32 1.59 3.32 2.06
        location 2.52 1.58 2.55 1.73
          c_name 3.84 3.08 3.82 4.56
       l_comment 3.01 2.22 3.00 2.62
      ps_comment 3.38 2.79 3.32 2.85
             avg 2.28 1.70 2.29 2.07
